SKU,URLIMG,POS
BAN2203513,https://cdn.shopify.com/s/files/1/1039/4986/products/2f0a5660-ed90-4264-9d0d-e12a804a9120.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/cec14aa8-e97e-4826-a8aa-320c2313ae11-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/2d6edf80-fa01-4398-8731-9b4cfd14a447.jpg,3
BAN2379387,https://cdn.shopify.com/s/files/1/1039/4986/products/976696b5-227b-4948-a893-46a6478d2f77.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/80b3233b-2413-4b86-95ce-3fcded24917e-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/7b479f21-8503-440d-8c8c-d2da957de90a.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/27d8267f-4933-4aa9-864c-28083837e031.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/10ac192c-8479-44d6-b918-8c77cb65c104.jpg,5
BANS64024,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_1-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_2.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_3.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_4.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_5.jpg,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_6.jpg,7
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_7.jpg,8
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_8.jpg,9
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans64024_9.jpg,10
BANS63714,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_1-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_4.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_5.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_6.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_7.jpg,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_3.jpg,7
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_9.jpg,8
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_8.jpg,9
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63714_2.jpg,10
BANS63710,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63710_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63710_1-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63710_2.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63710_3.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63710_4.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63710_5.jpg,6
BANS63703,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63703_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63703_1.jpg,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63703_2.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63703_3.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63703_4.jpg,5
BANS63702,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63702_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63702_1-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63702_4.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63702_5.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63702_6.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63702_7.jpg,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63702_2.jpg,7
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63702_3.jpg,8
BANS63397,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63397_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63397_1-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63397_2.jpg,3
